participantID,item,rating,targetType,targetNumber,facialColoration,shownEmotion,emotionChoiceID,target_gender,ratedEmotion,congruent_choice
P010,WF-007-NR-N_4,1,WF,007,NR,N,4,Female,Angry,4
P009,WF-007-NR-N_4,2,WF,007,NR,N,4,Female,Angry,4
P044,WF-007-NR-N_4,1,WF,007,NR,N,4,Female,Angry,4
P025,WF-007-NR-N_4,1,WF,007,NR,N,4,Female,Angry,4
P002,WF-007-NR-N_4,1,WF,007,NR,N,4,Female,Angry,4
P60,WF-007-NR-HC_1,4,WF,007,NR,HC,1,Female,Happy,1
P055,WF-007-NR-HC_1,5,WF,007,NR,HC,1,Female,Happy,1
P035,WF-007-NR-HC_1,5,WF,007,NR,HC,1,Female,Happy,1
P016,WF-007-NR-HC_1,4,WF,007,NR,HC,1,Female,Happy,1
P051,WF-007-NR-HC_1,5,WF,007,NR,HC,1,Female,Happy,1
P010,WF-007-NR-HC_1,5,WF,007,NR,HC,1,Female,Happy,1
P009,WF-007-NR-HC_1,5,WF,007,NR,HC,1,Female,Happy,1
P044,WF-007-NR-HC_1,5,WF,007,NR,HC,1,Female,Happy,1
P025,WF-007-NR-HC_1,5,WF,007,NR,HC,1,Female,Happy,1
P002,WF-007-NR-HC_1,4,WF,007,NR,HC,1,Female,Happy,1
P60,WF-007-NR-A_4,5,WF,007,NR,A,4,Female,Angry,4
P055,WF-007-NR-A_4,4,WF,007,NR,A,4,Female,Angry,4
P035,WF-007-NR-A_4,5,WF,007,NR,A,4,Female,Angry,4
P016,WF-007-NR-A_4,4,WF,007,NR,A,4,Female,Angry,4
P051,WF-007-NR-A_4,5,WF,007,NR,A,4,Female,Angry,4
P010,WF-007-NR-A_4,5,WF,007,NR,A,4,Female,Angry,4
P009,WF-007-NR-A_4,5,WF,007,NR,A,4,Female,Angry,4
P044,WF-007-NR-A_4,3,WF,007,NR,A,4,Female,Angry,4
P025,WF-007-NR-A_4,2,WF,007,NR,A,4,Female,Angry,4
P002,WF-007-NR-A_4,5,WF,007,NR,A,4,Female,Angry,4
