participantID,question,rating,targetType,targetNumber,facialColoration,shownEmotion,emotionChoiceID,target_gender
P017,WF-010-NR-A_4,1.0,WF,010,NR,A,4,Female
P014,WF-010-NR-A_4,4.0,WF,010,NR,A,4,Female
P050,WF-010-NR-A_4,5.0,WF,010,NR,A,4,Female
P010,WF-010-NR-A_4,4.0,WF,010,NR,A,4,Female
P009,WF-010-NR-A_4,4.0,WF,010,NR,A,4,Female
P006,WF-010-NR-A_4,2.0,WF,010,NR,A,4,Female
P004,WF-010-NR-A_4,4.0,WF,010,NR,A,4,Female
P059,WF-010-NR-F_6,1.0,WF,010,NR,F,6,Female
P037,WF-010-NR-F_6,1.0,WF,010,NR,F,6,Female
P017,WF-010-NR-F_6,2.0,WF,010,NR,F,6,Female
P014,WF-010-NR-F_6,3.0,WF,010,NR,F,6,Female
P050,WF-010-NR-F_6,1.0,WF,010,NR,F,6,Female
P010,WF-010-NR-F_6,4.0,WF,010,NR,F,6,Female
P009,WF-010-NR-F_6,4.0,WF,010,NR,F,6,Female
P006,WF-010-NR-F_6,4.0,WF,010,NR,F,6,Female
P004,WF-010-NR-F_6,3.0,WF,010,NR,F,6,Female
P065,WF-011-NR-N_4,1.0,WF,011,NR,N,4,Female
P062,WF-011-NR-N_4,4.0,WF,011,NR,N,4,Female
p057,WF-011-NR-N_4,3.0,WF,011,NR,N,4,Female
P054,WF-011-NR-N_4,5.0,WF,011,NR,N,4,Female
P033,WF-011-NR-N_4,1.0,WF,011,NR,N,4,Female
P013,WF-011-NR-N_4,2.0,WF,011,NR,N,4,Female
P053,WF-011-NR-N_4,2.0,WF,011,NR,N,4,Female
P047,WF-011-NR-N_4,2.0,WF,011,NR,N,4,Female
P028,WF-011-NR-N_4,1.0,WF,011,NR,N,4,Female
P027,WF-011-NR-N_4,2.0,WF,011,NR,N,4,Female
P026,WF-011-NR-N_4,2.0,WF,011,NR,N,4,Female
P023,WF-011-NR-N_4,1.0,WF,011,NR,N,4,Female
P065,WF-011-NR-HC_1,4.0,WF,011,NR,HC,1,Female
P062,WF-011-NR-HC_1,5.0,WF,011,NR,HC,1,Female
p057,WF-011-NR-HC_1,5.0,WF,011,NR,HC,1,Female
P054,WF-011-NR-HC_1,4.0,WF,011,NR,HC,1,Female
P033,WF-011-NR-HC_1,4.0,WF,011,NR,HC,1,Female
P013,WF-011-NR-HC_1,4.0,WF,011,NR,HC,1,Female
P053,WF-011-NR-HC_1,4.0,WF,011,NR,HC,1,Female
P047,WF-011-NR-HC_1,5.0,WF,011,NR,HC,1,Female
P028,WF-011-NR-HC_1,5.0,WF,011,NR,HC,1,Female
P027,WF-011-NR-HC_1,5.0,WF,011,NR,HC,1,Female
P026,WF-011-NR-HC_1,4.0,WF,011,NR,HC,1,Female
P023,WF-011-NR-HC_1,5.0,WF,011,NR,HC,1,Female
P065,WF-011-NR-A_4,2.0,WF,011,NR,A,4,Female
P062,WF-011-NR-A_4,5.0,WF,011,NR,A,4,Female
p057,WF-011-NR-A_4,4.0,WF,011,NR,A,4,Female
P054,WF-011-NR-A_4,4.0,WF,011,NR,A,4,Female
P033,WF-011-NR-A_4,4.0,WF,011,NR,A,4,Female
P013,WF-011-NR-A_4,5.0,WF,011,NR,A,4,Female
P053,WF-011-NR-A_4,4.0,WF,011,NR,A,4,Female
P047,WF-011-NR-A_4,4.0,WF,011,NR,A,4,Female
P028,WF-011-NR-A_4,5.0,WF,011,NR,A,4,Female
P027,WF-011-NR-A_4,5.0,WF,011,NR,A,4,Female
P026,WF-011-NR-A_4,4.0,WF,011,NR,A,4,Female
P023,WF-011-NR-A_4,5.0,WF,011,NR,A,4,Female
P065,WF-011-NR-F_6,3.0,WF,011,NR,F,6,Female
P062,WF-011-NR-F_6,4.0,WF,011,NR,F,6,Female
p057,WF-011-NR-F_6,5.0,WF,011,NR,F,6,Female
P054,WF-011-NR-F_6,5.0,WF,011,NR,F,6,Female
P033,WF-011-NR-F_6,1.0,WF,011,NR,F,6,Female
P013,WF-011-NR-F_6,4.0,WF,011,NR,F,6,Female
P053,WF-011-NR-F_6,4.0,WF,011,NR,F,6,Female
P047,WF-011-NR-F_6,4.0,WF,011,NR,F,6,Female
P028,WF-011-NR-F_6,4.0,WF,011,NR,F,6,Female
P027,WF-011-NR-F_6,5.0,WF,011,NR,F,6,Female
P026,WF-011-NR-F_6,5.0,WF,011,NR,F,6,Female
P023,WF-011-NR-F_6,5.0,WF,011,NR,F,6,Female
P066,WF-012-NR-N_4,1.0,WF,012,NR,N,4,Female
P062,WF-012-NR-N_4,2.0,WF,012,NR,N,4,Female
P056,WF-012-NR-N_4,4.0,WF,012,NR,N,4,Female
P036,WF-012-NR-N_4,2.0,WF,012,NR,N,4,Female
P016,WF-012-NR-N_4,2.0,WF,012,NR,N,4,Female
P048,WF-012-NR-N_4,1.0,WF,012,NR,N,4,Female
P031,WF-012-NR-N_4,1.0,WF,012,NR,N,4,Female
P028,WF-012-NR-N_4,3.0,WF,012,NR,N,4,Female
P044,WF-012-NR-N_4,1.0,WF,012,NR,N,4,Female
P026,WF-012-NR-N_4,1.0,WF,012,NR,N,4,Female
P023,WF-012-NR-N_4,1.0,WF,012,NR,N,4,Female
P066,WF-012-NR-HC_1,4.0,WF,012,NR,HC,1,Female
P062,WF-012-NR-HC_1,5.0,WF,012,NR,HC,1,Female
P056,WF-012-NR-HC_1,5.0,WF,012,NR,HC,1,Female
P036,WF-012-NR-HC_1,5.0,WF,012,NR,HC,1,Female
P016,WF-012-NR-HC_1,5.0,WF,012,NR,HC,1,Female
P048,WF-012-NR-HC_1,5.0,WF,012,NR,HC,1,Female
P031,WF-012-NR-HC_1,5.0,WF,012,NR,HC,1,Female
